km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
5,847953216;58;849;98;12;46;36,47;driver4
5,847953216;58;849;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;36,47;driver4
1,801801802;58;2754;98;12;98;47,45;driver4
1,801801802;58;2754;98;12;98;47,45;driver4
1,801801802;58;2754;98;12;98;47,45;driver4
1,801801802;58;2754;98;12;98;47,45;driver4
4,504504505;58;2754;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;47,45;driver4
4,329004329;58;2864;98;30;20;48,24;driver4
4,329004329;58;2864;98;30;20;48,24;driver4
4,329004329;58;2864;98;30;20;48,24;driver4
4,329004329;58;2864;98;30;20;48,24;driver4
5,917159763;58;2864;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;48,24;driver4
6,289308176;58;2696;98;41;98;46,27;driver4
6,289308176;58;2696;98;41;98;46,27;driver4
6,289308176;58;2696;98;41;98;46,27;driver4
6,289308176;58;2696;98;41;98;46,27;driver4
7,352941176;58;2696;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;46,27;driver4
8,620689655;58;2307;98;48;59;25,49;driver4
8,620689655;58;2307;98;48;59;25,49;driver4
8,620689655;58;2307;98;48;59;25,49;driver4
8,620689655;58;2307;98;48;59;25,49;driver4
8,928571429;58;2307;98;50;59;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;25,49;driver4
8,403361345;58;2461;98;50;97;44,31;driver4
8,403361345;58;2461;98;50;97;44,31;driver4
8,403361345;58;2461;98;50;97;44,31;driver4
8,403361345;58;2461;98;50;97;44,31;driver4
8,928571429;58;2461;98;53;97;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;44,31;driver4
11,11111111;58;1984;98;53;88;12,94;driver4
11,11111111;58;1984;98;53;88;12,94;driver4
55,55555556;58;1984;20;53;88;12,94;driver4
52,63157895;58;1984;20;51;88;12,94;driver4
52,63157895;58;1984;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;12,94;driver4
55,55555556;58;1874;20;51;39;14,9;driver4
55,55555556;58;1874;20;51;39;14,9;driver4
55,55555556;58;1874;20;51;39;14,9;driver4
23,25581395;58;1874;47;51;39;14,9;driver4
12,82051282;58;1874;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;14,9;driver4
24,3902439;58;986;47;28;42;15,69;driver4
24,3902439;58;986;47;28;42;15,69;driver4
24,3902439;58;986;47;28;42;15,69;driver4
14,70588235;58;986;78;28;42;15,69;driver4
3,6900369;58;986;78;7;42;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;15,69;driver4
2,02020202;58;1800;78;7;81;40,78;driver4
2,02020202;58;1800;78;7;81;40,78;driver4
1,607717042;58;1800;98;7;81;40,78;driver4
5,050505051;58;1800;98;22;81;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;40,78;driver4
4,016064257;58;2263;98;22;99;46,27;driver4
4,016064257;58;2263;98;22;99;46,27;driver4
4,016064257;58;2263;98;22;99;46,27;driver4
6,41025641;58;2263;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;46,27;driver4
6,060606061;58;2390;98;35;99;30,2;driver4
6,060606061;58;2390;98;35;99;30,2;driver4
20,40816327;58;2390;29;35;99;30,2;driver4
26,31578947;58;2390;29;45;99;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;30,2;driver4
28,57142857;58;2177;29;45;96;16,47;driver4
28,57142857;58;2177;29;45;96;16,47;driver4
27,02702703;58;2177;31;45;96;16,47;driver4
27,02702703;58;2177;31;45;96;16,47;driver4
26,31578947;58;2177;31;44;96;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;16,47;driver4
27,77777778;58;2048;31;44;9;11,76;driver4
27,77777778;58;2048;31;44;9;11,76;driver4
45,45454545;58;2048;19;44;9;11,76;driver4
45,45454545;58;2048;19;44;9;11,76;driver4
37,03703704;58;2048;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;11,76;driver4
45,45454545;58;1653;19;35;10;12,16;driver4
45,45454545;58;1653;19;35;10;12,16;driver4
45,45454545;58;1653;19;35;10;12,16;driver4
28,57142857;58;1653;30;35;10;12,16;driver4
17,24137931;58;1653;30;21;10;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;12,16;driver4
22,72727273;58;1237;30;21;32;20;driver4
22,72727273;58;1237;30;21;32;20;driver4
8;58;1237;86;21;32;20;driver4
7,246376812;58;1237;86;19;32;20;driver4
7,246376812;58;1237;86;19;81;20;driver4
4,62962963;58;1936;86;19;81;20;driver4
4,62962963;58;1936;86;19;81;20;driver4
4,62962963;58;1936;86;19;81;20;driver4
4,62962963;58;1936;86;19;81;20;driver4
