km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
6,369426752;61;870;74;10;45;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;23,53;driver1
2,69541779;61;2051;74;10;50;43,53;driver1
2,69541779;61;2051;74;10;50;43,53;driver1
2,69541779;61;2051;74;10;50;43,53;driver1
2,100840336;61;2051;95;10;50;43,53;driver1
5,235602094;61;2051;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;43,53;driver1
4,329004329;61;2489;95;25;50;35,29;driver1
4,329004329;61;2489;95;25;50;35,29;driver1
4,329004329;61;2489;95;25;50;35,29;driver1
5,780346821;61;2489;71;25;50;35,29;driver1
8,333333333;61;2489;71;36;50;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;35,29;driver1
8,547008547;61;2420;71;36;57;43,53;driver1
8,547008547;61;2420;71;36;57;43,53;driver1
8,547008547;61;2420;71;36;57;43,53;driver1
7,8125;61;2420;78;36;57;43,53;driver1
9,523809524;61;2420;78;44;57;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;43,53;driver1
10,98901099;61;2110;78;44;54;38,43;driver1
10,98901099;61;2110;78;44;54;38,43;driver1
33,33333333;61;2110;26;44;54;38,43;driver1
38,46153846;61;2110;26;51;54;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;38,43;driver1
41,66666667;61;1892;26;51;26;12,94;driver1
41,66666667;61;1892;26;51;26;12,94;driver1
58,82352941;61;1892;19;51;26;12,94;driver1
62,5;61;1892;19;56;26;12,94;driver1
62,5;61;1892;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;12,94;driver1
58,82352941;61;2050;19;56;0;13,33;driver1
58,82352941;61;2050;19;56;0;13,33;driver1
58,82352941;61;2050;19;56;0;13,33;driver1
58,82352941;61;2050;19;56;0;13,33;driver1
58,82352941;61;2050;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
58,82352941;61;2104;19;57;0;13,33;driver1
45,45454545;61;2104;24;57;0;13,33;driver1
45,45454545;61;2104;24;57;0;13,33;driver1
45,45454545;61;2104;24;56;20;13,33;driver1
47,61904762;61;2046;24;56;20;13,33;driver1
47,61904762;61;2046;24;56;20;13,33;driver1
47,61904762;61;2046;24;56;20;13,33;driver1
